"","Striker","Season.x","avg_runs","Season.y","wicket"
"1","Shubman Gill","2023",890,NA,NA
"2","F du Plessis","2023",730,NA,NA
"3","DP Conway","2023",672,NA,NA
"4","V Kohli","2023",639,NA,NA
"5","YBK Jaiswal","2023",625,NA,NA
"6","SA Yadav","2023",605,NA,NA
"7","RD Gaikwad","2023",590,NA,NA
"8","DA Warner","2023",516,NA,NA
"9","RK Singh","2023",474,NA,NA
"10","Ishan Kishan","2023",454,NA,NA
"11","C Green","2023",452,"2023",8
"12","H Klaasen","2023",448,NA,NA
"13","S Dube","2023",418,NA,NA
"14","N Rana","2023",413,"2023",3
"15","MP Stoinis","2023",408,"2023",5
"16","VR Iyer","2023",404,NA,NA
"17","GJ Maxwell","2023",400,"2023",3
"18","JC Buttler","2023",392,NA,NA
"19","KR Mayers","2023",379,"2023",0
"20","S Dhawan","2023",373,NA,NA
"21","WP Saha","2023",371,NA,NA
"22","B Sai Sudharsan","2023",362,NA,NA
"23","SV Samson","2023",362,NA,NA
"24","N Pooran","2023",358,NA,NA
"25","P Simran Singh","2023",358,NA,NA
"26","HH Pandya","2023",346,"2023",4
"27","Tilak Varma","2023",343,"2023",0
"28","RG Sharma","2023",332,NA,NA
"29","AM Rahane","2023",326,NA,NA
"30","JM Sharma","2023",309,NA,NA
"31","V Shankar","2023",301,NA,NA
"32","SO Hetmyer","2023",299,NA,NA
"33","JJ Roy","2023",285,NA,NA
"34","AR Patel","2023",283,"2023",11
"35","LS Livingstone","2023",279,"2023",2
"36","SM Curran","2023",276,"2023",11
"37","KL Rahul","2023",274,NA,NA
"38","RA Tripathi","2023",273,NA,NA
"39","MA Agarwal","2023",270,NA,NA
"40","D Padikkal","2023",261,NA,NA
"41","DA Miller","2023",259,NA,NA
"42","AK Markram","2023",248,"2023",1
"43","N Wadhera","2023",241,NA,NA
"44","A Badoni","2023",238,"2023",0
"45","TH David","2023",231,NA,NA
"46","AD Russell","2023",227,"2023",7
"47","Rahmanullah Gurbaz","2023",227,NA,NA
"48","Abhishek Sharma","2023",226,"2023",2
"49","PD Salt","2023",218,NA,NA
"50","RR Rossouw","2023",209,NA,NA
"51","HC Brook","2023",190,NA,NA
"52","RA Jadeja","2023",190,"2023",20
"53","KH Pandya","2023",188,"2023",9
"54","Atharva Taide","2023",186,NA,NA
"55","Abdul Samad","2023",169,NA,NA
"56","MK Pandey","2023",160,NA,NA
"57","AT Rayudu","2023",158,NA,NA
"58","M Shahrukh Khan","2023",156,NA,NA
"59","Dhruv Jurel","2023",152,NA,NA
"60","Q de Kock","2023",143,NA,NA
"61","KD Karthik","2023",140,NA,NA
"62","Sikandar Raza","2023",139,"2023",3
"63","MK Lomror","2023",135,"2023",1
"64","Rashid Khan","2023",130,"2023",28
"65","MR Marsh","2023",128,"2023",12
"66","MM Ali","2023",124,"2023",9
"67","MW Short","2023",117,"2023",0
"68","A Manohar","2023",114,NA,NA
"69","SN Thakur","2023",113,"2023",7
"70","Aman Hakim Khan","2023",110,NA,NA
"71","PP Shaw","2023",106,NA,NA
"72","Anmolpreet Singh","2023",105,NA,NA
"73","MS Dhoni","2023",104,NA,NA
"74","PN Mankad","2023",93,NA,NA
"75","Anuj Rawat","2023",91,NA,NA
"76","N Jagadeesan","2023",89,NA,NA
"77","R Tewatia","2023",87,"2023",0
"78","DJ Hooda","2023",84,"2023",0
"79","R Parag","2023",78,NA,NA
"80","Harpreet Singh","2023",76,NA,NA
"81","PBB Rajapaksa","2023",71,NA,NA
"82","Vivrant Sharma","2023",69,"2023",0
"83","R Ashwin","2023",67,"2023",15
"84","Lalit Yadav","2023",66,"2023",3
"85","K Gowtham","2023",61,"2023",3
"86","Washington Sundar","2023",60,"2023",3
"87","MG Bracewell","2023",58,"2023",6
"88","SN Khan","2023",53,NA,NA
"89","Harpreet Brar","2023",52,"2023",9
"90","RV Patel","2023",49,NA,NA
"91","B Kumar","2023",42,"2023",19
"92","Shahbaz Ahmed","2023",42,"2023",1
"93","GD Phillips","2023",39,"2023",1
"94","M Jansen","2023",39,"2023",10
"95","A Nortje","2023",37,"2023",11
"96","Vishnu Vinod","2023",37,NA,NA
"97","DJ Willey","2023",35,"2023",4
"98","SS Prabhudessai","2023",35,NA,NA
"99","Abishek Porel","2023",33,NA,NA
"100","PWH de Silva","2023",33,"2023",9
"101","Kuldeep Yadav","2023",31,"2023",10
"102","MD Shanaka","2023",26,NA,NA
"103","PP Chawla","2023",25,"2023",23
"104","T Stubbs","2023",25,"2023",1
"105","AS Roy","2023",23,"2023",3
"106","HR Shokeen","2023",23,"2023",3
"107","AU Rashid","2023",22,"2023",2
"108","PK Garg","2023",22,NA,NA
"109","D Wiese","2023",21,"2023",0
"110","M Markande","2023",21,"2023",12
"111","SP Narine","2023",21,"2023",11
"112","R Dhawan","2023",20,"2023",1
"113","Ravi Bishnoi","2023",20,"2023",17
"114","A Mishra","2023",19,"2023",7
"115","UT Yadav","2023",19,"2023",1
"116","Umran Malik","2023",19,"2023",6
"117","Arshad Khan","2023",18,"2023",5
"118","Akash Deep","2023",17,"2023",1
"119","AJ Hosein","2023",16,"2023",1
"120","Naveen-ul-Haq","2023",16,"2023",11
"121","P Dubey","2023",16,"2023",1
"122","TA Boult","2023",16,"2023",13
"123","YV Dhull","2023",16,NA,NA
"124","BA Stokes","2023",15,"2023",0
"125","Mandeep Singh","2023",14,NA,NA
"126","Arjun Tendulkar","2023",13,"2023",4
"127","Vijaykumar Vyshak","2023",13,"2023",11
"128","JO Holder","2023",12,"2023",4
"129","KM Jadhav","2023",12,NA,NA
"130","KS Sharma","2023",12,NA,NA
"131","MA Wood","2023",11,"2023",11
"132","Sanvir Singh","2023",11,NA,NA
"133","A Zampa","2023",10,"2023",9
"134","JE Root","2023",10,"2023",0
"135","M Vohra","2023",10,NA,NA
"136","JD Unadkat","2023",9,"2023",1
"137","Noor Ahmad","2023",8,"2023",16
"138","AS Joseph","2023",7,"2023",7
"139","Mukesh Kumar","2023",7,"2023",9
"140","R Powell","2023",7,"2023",1
"141","CJ Jordan","2023",6,"2023",3
"142","HV Patel","2023",6,"2023",15
"143","JP Behrendorff","2023",6,"2023",17
"144","K Kartikeya","2023",6,"2023",5
"145","Mohammed Shami","2023",5,"2023",28
"146","C Sakariya","2023",4,"2023",3
"147","JC Archer","2023",4,"2023",2
"148","Liton Das","2023",4,NA,NA
"149","KV Sharma","2023",3,"2023",11
"150","VG Arora","2023",3,"2023",5
"151","Arshdeep Singh","2023",2,"2023",18
"152","MJ Santner","2023",2,"2023",3
"153","Sandeep Sharma","2023",2,"2023",15
"154","Swapnil Singh","2023",2,"2023",0
"155","WD Parnell","2023",2,"2023",9
"156","Abdul Basith","2023",1,NA,NA
"157","CV Varun","2023",1,"2023",20
"158","DL Chahar","2023",1,"2023",13
"159","Fazalhaq Farooqi","2023",1,"2023",4
"160","I Sharma","2023",1,"2023",10
"161","JR Hazlewood","2023",1,"2023",3
"162","Mohammed Siraj","2023",1,"2023",20
"163","Mohit Rathee","2023",1,"2023",0
"164","Mustafizur Rahman","2023",1,"2023",1
"165","NT Ellis","2023",1,"2023",13
"166","Yudhvir Singh","2023",1,"2023",3
"167","Avesh Khan","2023",0,"2023",8
"168","DG Nalkande","2023",0,"2023",1
"169","Harshit Rana","2023",0,"2023",6
"170","K Rabada","2023",0,"2023",7
"171","KM Asif","2023",0,"2023",3
"172","MM Sharma","2023",0,"2023",31
"173","Mohsin Khan","2023",0,"2023",3
"174","R Shepherd","2023",0,NA,NA
"175","RD Chahar","2023",0,"2023",8
"176","RP Meredith","2023",0,"2023",7
"177","TU Deshpande","2023",0,"2023",24
"178","M Pathirana",NA,NA,"2023",23
"179","YS Chahal",NA,NA,"2023",22
"180","Akash Madhwal",NA,NA,"2023",16
"181","Yash Thakur",NA,NA,"2023",15
"182","T Natarajan",NA,NA,"2023",13
"183","M Theekshana",NA,NA,"2023",11
"184","Suyash Sharma",NA,NA,"2023",11
"185","KK Ahmed",NA,NA,"2023",10
"186","J Little",NA,NA,"2023",9
"187","Akash Singh",NA,NA,"2023",5
"188","Navdeep Saini",NA,NA,"2023",3
"189","RS Hangargekar",NA,NA,"2023",3
"190","K Khejroliya",NA,NA,"2023",2
"191","K Yadav",NA,NA,"2023",2
"192","TG Southee",NA,NA,"2023",2
"193","Yash Dayal",NA,NA,"2023",2
"194","D Jansen",NA,NA,"2023",1
"195","Kartik Tyagi",NA,NA,"2023",1
"196","LH Ferguson",NA,NA,"2023",1
"197","Mayank Dagar",NA,NA,"2023",1
"198","RJW Topley",NA,NA,"2023",1
"199","SSB Magala",NA,NA,"2023",1
"200","D Pretorius",NA,NA,"2023",0
"201","Gurnoor Brar",NA,NA,"2023",0
"202","H Sharma",NA,NA,"2023",0
"203","J Yadav",NA,NA,"2023",0
"204","KR Sen",NA,NA,"2023",0
"205","M Ashwin",NA,NA,"2023",0
"206","NA Saini",NA,NA,"2023",0
"207","Nithish Kumar Reddy",NA,NA,"2023",0
"208","OC McCoy",NA,NA,"2023",0
"209","R Goyal",NA,NA,"2023",0
